,Serial,Model,Target Timestamp,FAULT-10W,FAULT-9W,FAULT-8W,FAULT-7W,FAULT-6W,FAULT-5W,FAULT-4W,FAULT-3W,FAULT-2W,FAULT-1W,CLEANING-10W,CLEANING-9W,CLEANING-8W,CLEANING-7W,CLEANING-6W,CLEANING-5W,CLEANING-4W,CLEANING-3W,CLEANING-2W,CLEANING-1W,TARGET
90,1554481,model 20,2017-06-18 00:00:00,0.0,0.0,0.0,0.0,7.0,831.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1555490,model 13,2017-06-18 00:00:00,2240.0,1185.0,1445.0,1824.0,2436.0,1238.0,546.0,1146.0,814.0,783.0,9.0,12.0,9.0,10.0,11.0,9.0,9.0,9.0,10.0,5.0,211.0
92,1558041,model 18,2017-06-18 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,1612713,model 18,2017-06-18 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,1625343,model 10,2017-06-18 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,1554481,model 20,2017-06-25 00:00:00,0.0,0.0,0.0,7.0,831.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,1555490,model 13,2017-06-25 00:00:00,1185.0,1445.0,1824.0,2436.0,1238.0,546.0,1146.0,814.0,783.0,211.0,12.0,9.0,10.0,11.0,9.0,9.0,9.0,10.0,5.0,1.0,3.0
97,1558041,model 18,2017-06-25 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1612713,model 18,2017-06-25 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
99,1625343,model 10,2017-06-25 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1554481,model 20,2017-07-02 00:00:00,0.0,0.0,7.0,831.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,1555490,model 13,2017-07-02 00:00:00,1445.0,1824.0,2436.0,1238.0,546.0,1146.0,814.0,783.0,211.0,3.0,9.0,10.0,11.0,9.0,9.0,9.0,10.0,5.0,1.0,4.0,1.0
102,1558041,model 18,2017-07-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,1612713,model 18,2017-07-02 00:00:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,1625343,model 10,2017-07-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,1554481,model 20,2017-07-09 00:00:00,0.0,7.0,831.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,1555490,model 13,2017-07-09 00:00:00,1824.0,2436.0,1238.0,546.0,1146.0,814.0,783.0,211.0,3.0,1.0,10.0,11.0,9.0,9.0,9.0,10.0,5.0,1.0,4.0,3.0,3.0
107,1558041,model 18,2017-07-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,1612713,model 18,2017-07-09 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
109,1625343,model 10,2017-07-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,1554481,model 20,2017-07-16 00:00:00,7.0,831.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,1555490,model 13,2017-07-16 00:00:00,2436.0,1238.0,546.0,1146.0,814.0,783.0,211.0,3.0,1.0,3.0,11.0,9.0,9.0,9.0,10.0,5.0,1.0,4.0,3.0,2.0,6.0
112,1558041,model 18,2017-07-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0
113,1612713,model 18,2017-07-16 00:00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,0.0
114,1625343,model 10,2017-07-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,1554481,model 20,2017-07-23 00:00:00,831.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,1555490,model 13,2017-07-23 00:00:00,1238.0,546.0,1146.0,814.0,783.0,211.0,3.0,1.0,3.0,6.0,9.0,9.0,9.0,10.0,5.0,1.0,4.0,3.0,2.0,2.0,0.0
117,1558041,model 18,2017-07-23 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,351.0,0.0
